index,x,y_elevation,z,cumulative_length_m
0,-206.9293975830078,-8.408028602600098,414.0029602050781,0.0
1,-206.82241821289062,-8.40074634552002,412.4525451660156,1.5541976690292358
2,-206.7150421142578,-8.393447875976562,410.90911865234375,3.101418972015381
3,-206.60716247558594,-8.386152267456055,409.3783264160156,4.636075019836426
4,-206.4984893798828,-8.378876686096191,407.8624267578125,6.155970573425293
5,-206.3885498046875,-8.371612548828125,406.3603210449219,7.662190914154053
6,-206.27679443359375,-8.36434268951416,404.8680419921875,9.158714294433594
7,-206.16275024414062,-8.357038497924805,403.38079833984375,10.650398254394531
8,-206.04612731933594,-8.349678993225098,401.89385986328125,12.142004013061523
9,-205.92678833007812,-8.342242240905762,400.40411376953125,13.63662052154541
10,-205.80484008789062,-8.334722518920898,398.90966796875,15.136128425598145
11,-205.680419921875,-8.327116966247559,397.4101867675781,16.640836715698242
12,-205.55380249023438,-8.319436073303223,395.9063720703125,18.15003776550293
13,-205.42530822753906,-8.311697006225586,394.399169921875,19.662805557250977
14,-205.29519653320312,-8.303923606872559,392.8895263671875,21.178142547607422
15,-205.16375732421875,-8.296138763427734,391.3782958984375,22.69514274597168
16,-205.03109741210938,-8.288357734680176,389.8660888671875,24.21322250366211
17,-204.89749145507812,-8.280600547790527,388.3532409667969,25.7320613861084
18,-204.7629852294922,-8.272863388061523,386.8399353027344,27.251432418823242
19,-204.6277313232422,-8.265140533447266,385.3262939453125,28.771177291870117
20,-204.4917755126953,-8.257405281066895,383.81243896484375,30.29119300842285
21,-204.3552703857422,-8.249629020690918,382.2982482910156,31.81162452697754
22,-204.2183074951172,-8.241781234741211,380.7837829589844,33.33237075805664
23,-204.08102416992188,-8.23384952545166,379.2690124511719,34.85345458984375
24,-203.94345092773438,-8.225842475891113,377.7539978027344,36.37477111816406
25,-203.52120971679688,-8.201425552368164,373.113037109375,41.03496551513672
26,-203.37742614746094,-8.193272590637207,371.5338134765625,42.62079620361328
27,-203.2330780029297,-8.184405326843262,369.9543151855469,44.206947326660156
28,-203.08840942382812,-8.177510261535645,368.3742980957031,45.79366683959961
29,-202.9429168701172,-8.169833183288574,366.79425048828125,47.38048553466797
30,-202.79730224609375,-8.163156509399414,365.2137451171875,48.96773910522461
31,-202.65126037597656,-8.153850555419922,363.6331787109375,50.55510711669922
32,-202.50477600097656,-8.14494800567627,362.0523681640625,52.14278793334961
33,-202.35745239257812,-8.137984275817871,360.4712219238281,53.73087692260742
34,-202.2098846435547,-8.131174087524414,358.8900451660156,55.31898498535156
35,-202.06301879882812,-8.12585735321045,357.3086853027344,56.907203674316406
36,-201.91590881347656,-8.11900520324707,355.7273254394531,58.4954833984375
37,-201.76797485351562,-8.110383987426758,354.1459655761719,60.083839416503906
38,-201.6190643310547,-8.102913856506348,352.5646057128906,61.67226028442383
39,-201.46966552734375,-8.096724510192871,350.9832458496094,63.26071548461914
40,-201.3194122314453,-8.09045696258545,349.4018859863281,64.84928894042969
41,-201.16807556152344,-8.083850860595703,347.8206787109375,66.43781280517578
42,-201.0155792236328,-8.077723503112793,346.2394714355469,68.02644348144531
43,-200.86204528808594,-8.070781707763672,344.65850830078125,69.61490631103516
44,-200.70742797851562,-8.06429672241211,343.0775451660156,71.2034683227539
45,-200.55125427246094,-8.056547164916992,341.49658203125,72.79222106933594
46,-200.39346313476562,-8.048356056213379,339.9156188964844,74.38113403320312
47,-200.23439025878906,-8.040888786315918,338.3344421386719,75.9703598022461
48,-200.0741729736328,-8.034891128540039,336.7530822753906,77.55986785888672
49,-199.91270446777344,-8.027475357055664,335.1717224121094,79.1495361328125
50,-199.74966430664062,-8.01918888092041,333.5903625488281,80.73937225341797
51,-199.58485412597656,-8.007867813110352,332.00897216796875,82.32940673828125
52,-199.41880798339844,-7.996454238891602,330.42724609375,83.91990661621094
53,-199.25148010253906,-7.987096786499023,328.845458984375,85.5106201171875
54,-199.08306884765625,-7.978813648223877,327.26336669921875,87.10174560546875
