t_s,car_x,car_z,e_y_m,e_psi_rad,theta_ref0_deg,theta_real_deg,theta_dot_kf_degs,theta_dot_raw_degs,error_deg,tau_Nm,speed_kmh,kappa_avg,loop_dt_ms
2.631,38.086,705.014,2.0154,-0.20197,68.755,-29.254,131.083,0.0,98.009,2.0,13.81,-0.000267,17.17
2.682,38.107,705.199,1.9766,-0.21064,68.755,-1.691,384.791,0.0,70.446,1.8338,14.16,-0.000267,18.1
2.811,38.129,705.401,1.9355,-0.19382,68.755,24.952,551.26,0.0,43.803,0.8338,14.37,-0.000267,96.97
2.943,38.158,705.802,1.8677,-0.14871,37.712,43.744,532.872,0.0,-6.033,-0.1662,14.86,-0.000267,132.19
2.965,38.161,706.358,1.8113,-0.0688,-34.646,49.486,375.841,0.0,-84.131,-1.1662,15.54,-0.000122,21.4
3.006,38.153,706.567,1.7988,-0.04516,-55.791,39.468,114.829,0.0,-95.259,-2.0,15.73,-0.000122,12.94
3.061,38.139,706.791,1.7914,-0.02539,-68.755,17.631,-200.357,0.0,-86.385,-2.0,15.97,-0.000122,16.78
3.113,38.124,707.005,1.7858,-0.0334,-64.18,-8.75,-436.747,0.0,-55.43,-1.3966,16.21,-0.000122,19.06
3.186,38.111,707.236,1.7762,-0.05603,-41.668,-31.375,-527.603,0.0,-10.293,-0.3966,16.42,-0.000122,41.22
3.215,38.104,707.47,1.7602,-0.08271,-15.252,-44.022,-452.506,0.0,28.77,0.6034,16.64,-0.000122,20.43
3.262,38.105,707.721,1.7347,-0.12279,23.421,-42.024,-252.943,0.0,65.444,1.6034,16.81,-0.000285,16.92
3.317,38.116,707.946,1.7023,-0.16231,61.781,-26.201,39.968,0.0,87.982,2.0,17.04,-0.000285,21.99
3.361,38.134,708.189,1.6602,-0.18068,68.755,-0.251,316.455,0.0,69.006,1.9663,17.3,-0.000285,15.41
3.471,38.153,708.42,1.6189,-0.17196,68.755,26.131,518.99,0.0,42.624,0.9663,17.5,-0.000285,75.08
3.5,38.176,708.788,1.5611,-0.1457,54.208,45.677,527.652,0.0,8.532,-0.0337,17.83,-0.000285,28.54
3.56,38.185,709.056,1.5257,-0.11196,25.718,52.932,390.908,0.0,-27.214,-1.0337,17.98,-0.000285,38.91
3.592,38.183,709.312,1.5034,-0.06646,-13.628,44.05,145.112,0.0,-57.678,-2.0,18.15,-0.000124,19.72
3.642,38.171,709.556,1.4919,-0.03128,-43.937,23.064,-177.645,0.0,-67.001,-2.0,18.36,-0.000124,19.27
3.69,38.152,709.801,1.4863,-0.01978,-53.131,-2.15,-419.713,0.0,-50.981,-1.323,18.61,-0.000124,16.58
3.742,38.133,710.066,1.4799,-0.03454,-39.291,-23.374,-504.287,0.0,-15.917,-0.323,18.8,-0.000124,18.36
3.791,38.12,710.317,1.4689,-0.06018,-15.846,-34.443,-424.478,0.0,18.597,0.677,18.96,-0.000124,17.35
3.843,38.114,710.618,1.4457,-0.09657,17.379,-30.734,-221.382,0.0,48.113,1.677,19.1,-0.000124,19.59
3.892,38.118,710.874,1.4164,-0.13244,50.083,-13.628,74.179,0.0,63.711,2.0,19.3,-8e-05,17.89
3.942,38.13,711.133,1.3795,-0.14986,66.813,10.774,342.113,0.0,56.039,1.6159,19.55,-8e-05,18.08
4.048,38.145,711.411,1.3383,-0.14257,62.392,33.487,488.051,0.0,28.905,0.6159,19.74,-8e-05,74.02
4.144,38.157,711.809,1.2873,-0.11399,40.272,47.772,454.264,0.0,-7.499,-0.3841,20.06,-8e-05,95.14
4.165,38.151,712.366,1.2391,-0.05442,-8.214,48.572,285.685,0.0,-56.786,-1.3841,20.48,-0.000264,21.37
4.213,38.136,712.64,1.2278,-0.02531,-31.852,34.849,16.011,0.0,-66.701,-2.0,20.73,-0.000264,18.34
4.261,38.109,712.953,1.2241,-0.00252,-50.013,10.232,-274.471,0.0,-60.245,-2.0,21.07,-0.000264,16.61
4.313,38.082,713.235,1.2238,-0.00504,-47.129,-15.393,-492.332,0.0,-31.736,-1.0,21.41,-0.000264,18.13
4.363,38.057,713.521,1.2202,-0.0249,-30.032,-34.611,-512.488,0.0,4.578,-0.0,21.7,-0.000264,18.51
4.412,38.038,713.849,1.2082,-0.05262,-6.252,-41.863,-384.366,0.0,35.61,1.0,21.97,-0.000621,17.03
4.465,38.029,714.162,1.186,-0.08701,22.934,-32.977,-145.035,0.0,55.912,2.0,22.28,-0.000621,19.84
4.515,38.031,714.462,1.1551,-0.11732,48.685,-11.99,177.702,0.0,60.674,2.0,22.7,-0.000621,19.14
4.562,38.039,714.768,1.1167,-0.12976,59.91,12.496,419.756,0.0,47.414,1.221,23.26,-0.000621,16.12
4.615,38.05,715.121,1.0719,-0.12124,54.701,32.442,489.709,0.0,22.259,0.221,23.81,-0.000621,18.32
4.666,38.054,715.463,1.0345,-0.10071,40.405,41.823,398.934,0.0,-1.418,-0.779,24.34,-0.000341,19.63
4.715,38.051,715.791,1.0059,-0.07268,19.906,36.117,187.613,0.0,-16.211,-1.779,24.8,-0.000341,18.34
4.763,38.037,716.146,0.9851,-0.04432,-0.77,22.321,-114.116,0.0,-23.091,-1.3288,25.27,-0.000341,16.06
