t_s,car_x,car_z,e_y_m,e_psi_rad,theta_ref0_deg,theta_real_deg,theta_dot_kf_degs,theta_dot_raw_degs,error_deg,tau_Nm,speed_kmh,kappa_avg,loop_dt_ms
0.007,41.796,659.455,2.5912,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,6.65
0.051,41.796,659.455,2.5912,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.39
0.101,41.796,659.455,2.5912,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.3
0.152,41.796,659.455,2.5912,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.27
0.202,41.796,659.455,2.5912,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.3
0.252,41.796,659.455,2.5912,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.25
0.303,41.796,659.455,2.5912,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.25
0.353,41.796,659.455,2.5912,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.23
0.403,41.796,659.455,2.5912,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.00056,0.25
0.454,41.796,659.455,2.5912,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.51
0.504,41.796,659.455,2.5912,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.43
0.554,41.796,659.455,2.5912,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.3
0.604,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.32
0.655,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.24
0.705,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.25
0.755,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.28
0.806,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.46
0.856,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.31
0.907,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.55
0.96,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,2.62
1.008,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.00056,0.58
1.058,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.83
1.109,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.6
1.159,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.5
1.21,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.6
1.26,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.27
1.311,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.38
1.361,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.34
1.411,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.33
1.463,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,1.48
1.512,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.52
1.562,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.34
1.612,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.34
1.663,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.25
1.713,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.31
1.763,41.796,659.455,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00056,0.28
1.814,41.796,659.458,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,0.57,-0.00056,0.33
1.864,41.795,659.472,2.5911,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,1.49,-0.00056,0.33
1.914,41.792,659.499,2.5912,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,2.36,-0.00056,0.23
1.965,41.789,659.539,2.5914,-1.66205,0.0,0.0,0.0,0.0,0.0,0.0,3.17,-0.00056,0.27
2.057,41.784,659.586,2.5916,0.00552,-68.755,-7.162,0.0,0.0,-61.593,-1.0,3.91,-0.00056,41.82
2.086,41.778,659.646,2.592,0.0067,-68.755,-25.347,-143.239,0.0,-43.407,-1.7892,4.66,-0.00056,20.64
2.166,41.771,659.718,2.5924,0.00525,-68.755,-44.639,-363.71,0.0,-24.116,-0.7892,5.42,-0.00056,50.18
2.25,41.764,659.795,2.5925,-0.00541,-68.755,-57.597,-385.823,0.0,-11.158,0.2108,6.2,-0.00056,83.92
2.38,41.751,659.967,2.5896,-0.03007,-68.755,-61.593,-259.168,0.0,-7.162,0.7991,7.53,-0.00056,129.84
2.412,41.744,660.266,2.5693,-0.11091,-41.981,-54.26,-79.919,0.0,12.279,1.4424,9.43,-0.000326,32.32
2.449,41.748,660.396,2.5539,-0.12651,-25.683,-42.871,146.662,0.0,17.188,0.8223,10.11,-0.000326,18.74
2.498,41.753,660.544,2.5347,-0.13143,-19.697,-33.941,227.779,0.0,14.244,0.0541,10.84,-0.000326,17.63
2.553,41.76,660.713,2.513,-0.12455,-25.248,-30.775,178.588,0.0,5.527,-0.493,11.6,-0.000326,22.03
2.599,41.764,660.863,2.4952,-0.11244,-36.188,-33.045,63.329,0.0,-3.142,-0.6486,12.43,-0.000326,17.68
2.648,41.767,661.055,2.4744,-0.10505,-42.282,-36.907,-45.408,0.0,-5.375,-0.3014,13.07,-0.000326,15.73
2.699,41.769,661.241,2.455,-0.10615,-40.065,-38.391,-77.229,0.0,-1.673,0.1971,13.01,-0.000326,17.04
2.752,41.773,661.413,2.4361,-0.11547,-29.761,-35.349,-29.686,0.0,5.587,0.5803,12.92,-0.000326,19.23
2.803,41.778,661.597,2.4147,-0.12323,-20.961,-29.818,60.851,0.0,8.857,0.4536,12.95,-0.000204,19.45
2.847,41.784,661.779,2.3918,-0.12815,-14.765,-24.177,110.607,0.0,9.412,0.2085,12.81,-0.000204,13.46
2.897,41.79,661.949,2.3698,-0.12977,-11.874,-19.75,112.818,0.0,7.876,0.0274,12.78,-0.000204,13.42
2.948,41.797,662.13,2.3466,-0.12682,-13.446,-17.534,88.541,0.0,4.089,-0.1542,12.69,-0.000204,14.02
2.998,41.803,662.319,2.3229,-0.12316,-15.689,-17.062,44.318,0.0,1.373,-0.1661,12.64,-0.000204,14.1
3.05,41.808,662.487,2.3025,-0.1204,-17.229,-17.305,9.443,0.0,0.077,-0.0834,12.58,-0.000204,15.0
3.099,41.813,662.654,2.2825,-0.12,-16.467,-17.134,-4.861,0.0,0.667,0.0494,12.51,-0.000204,14.29
3.16,41.818,662.831,2.2612,-0.1217,-13.535,-15.887,3.433,0.0,2.351,0.1562,12.47,-0.000204,24.97
3.2,41.823,663.007,2.2396,-0.12502,-8.994,-13.408,24.942,0.0,4.413,0.2155,12.41,-0.000204,14.54
3.249,41.829,663.183,2.2178,-0.12725,-5.487,-10.482,49.579,0.0,4.995,0.1489,12.37,4.8e-05,13.91
3.297,41.835,663.368,2.1943,-0.12718,-4.176,-8.156,58.512,0.0,3.98,0.0185,12.34,4.8e-05,10.34
3.35,41.841,663.521,2.1748,-0.1259,-4.313,-6.816,46.528,0.0,2.504,-0.0566,12.28,4.8e-05,13.09
3.396,41.846,663.685,2.1545,-0.12383,-5.168,-6.312,26.789,0.0,1.144,-0.0699,12.24,4.8e-05,9.31
3.446,41.852,663.878,2.1307,-0.12173,-5.861,-6.235,10.082,0.0,0.374,-0.042,12.19,4.8e-05,8.76
3.498,41.856,664.04,2.1111,-0.12068,-5.748,-6.123,1.542,0.0,0.374,0.0076,12.27,4.8e-05,10.09
3.554,41.861,664.218,2.0897,-0.12087,-4.317,-5.519,2.242,0.0,1.201,0.0726,12.87,4.8e-05,15.52
3.604,41.866,664.394,2.0684,-0.12137,-2.575,-4.449,12.079,0.0,1.874,0.0862,13.56,4.8e-05,16.08
3.657,41.872,664.603,2.0435,-0.12285,0.623,-2.664,21.405,0.0,3.287,0.1372,14.25,0.000182,18.34
3.702,41.878,664.785,2.0211,-0.12318,2.259,-0.84,35.703,0.0,3.098,0.0677,14.9,0.000182,13.03
3.751,41.885,665.027,1.9915,-0.12188,2.707,0.446,36.476,0.0,2.261,-0.0115,15.58,0.000182,11.07
3.803,41.89,665.226,1.9675,-0.11979,2.045,0.983,25.713,0.0,1.062,-0.0596,16.27,0.000182,12.86
3.85,41.897,665.475,1.9379,-0.11756,1.569,1.11,10.749,0.0,0.46,-0.0387,16.96,0.000182,10.02
3.9,41.903,665.72,1.9094,-0.11572,1.418,1.162,2.524,0.0,0.256,-0.0059,17.65,0.000182,9.7
3.955,41.908,665.975,1.8801,-0.11433,2.591,1.617,1.046,0.0,0.974,0.058,18.28,0.000182,13.79
4.003,41.913,666.224,1.8522,-0.11402,5.702,3.014,9.096,0.0,2.688,0.1475,18.94,0.000105,11.95
4.056,41.919,666.497,1.8213,-0.11283,7.86,4.801,27.955,0.0,3.06,0.103,19.57,0.000105,14.75
4.104,41.923,666.745,1.7935,-0.1107,8.716,6.235,35.726,0.0,2.481,0.0133,20.18,0.000105,11.64
4.154,41.928,667.052,1.76,-0.10759,8.746,7.087,28.695,0.0,1.659,-0.0314,20.72,0.000105,11.41
4.204,41.932,667.366,1.7267,-0.10435,8.474,7.5,17.026,0.0,0.975,-0.0315,21.23,0.000105,10.84
4.258,41.934,667.671,1.6956,-0.10131,7.93,7.602,8.256,0.0,0.328,-0.0289,21.75,-6.9e-05,14.74
4.304,41.936,667.984,1.6645,-0.09834,7.726,7.6,2.048,0.0,0.126,-0.011,22.29,-6.9e-05,10.56
4.354,41.937,668.285,1.6353,-0.09565,7.643,7.592,-0.044,0.0,0.051,-0.0008,22.84,-6.9e-05,9.6
4.404,41.937,668.593,1.6062,-0.09324,7.735,7.63,-0.148,0.0,0.105,0.0061,23.38,-6.9e-05,9.34
4.457,41.936,668.928,1.5754,-0.09111,8.042,7.767,0.759,0.0,0.275,0.0151,23.9,-6.9e-05,11.91
4.512,41.935,669.25,1.5465,-0.08917,9.023,8.188,2.736,0.0,0.834,0.0445,24.47,0.000367,16.99
4.556,41.933,669.643,1.512,-0.08672,9.177,8.571,8.422,0.0,0.605,0.0094,25.05,0.000367,10.71
4.606,41.93,669.96,1.4849,-0.08385,8.66,8.614,7.659,0.0,0.046,-0.0341,25.67,0.000367,10.15
4.655,41.925,670.328,1.4546,-0.0811,8.32,8.468,0.86,0.0,-0.148,-0.0249,26.27,0.000367,8.6
4.707,41.92,670.705,1.425,-0.07877,8.511,8.436,-2.924,0.0,0.075,0.0108,26.95,3.2e-05,10.82
4.756,41.913,671.092,1.395,-0.0758,7.998,8.298,-0.646,0.0,-0.3,-0.0158,27.66,3.2e-05,10.17
4.808,41.905,671.489,1.3655,-0.07296,7.535,8.019,-2.755,0.0,-0.484,-0.0245,28.39,3.2e-05,10.41
4.859,41.895,671.897,1.3363,-0.07031,7.19,7.703,-5.573,0.0,-0.514,-0.0149,29.14,3.2e-05,11.41
4.91,41.884,672.315,1.3074,-0.0676,6.675,7.332,-6.317,0.0,-0.657,-0.0188,29.89,0.000548,11.96
4.959,41.872,672.744,1.2789,-0.06521,6.381,6.979,-7.426,0.0,-0.598,-0.0104,30.6,0.000548,10.64
5.01,41.859,673.157,1.2525,-0.06273,5.949,6.613,-7.058,0.0,-0.663,-0.0143,31.35,0.000548,11.3
5.058,41.844,673.607,1.2248,-0.0603,5.544,6.228,-7.336,0.0,-0.685,-0.0152,32.06,0.000548,9.21
5.11,41.828,674.066,1.1975,-0.05771,4.837,5.741,-7.683,0.0,-0.904,-0.0279,32.77,0.000295,10.24
5.16,41.81,674.536,1.1709,-0.05582,4.729,5.357,-9.756,0.0,-0.628,-0.0024,33.5,0.000295,10.15
5.21,41.791,675.016,1.1445,-0.05394,4.591,5.09,-7.668,0.0,-0.499,0.0028,34.23,0.000295,10.19
5.261,41.773,675.448,1.1215,-0.05176,4.377,4.857,-5.351,0.0,-0.48,-0.0044,34.89,0.000398,10.84
5.312,41.751,675.946,1.0961,-0.0499,4.143,4.615,-4.649,0.0,-0.472,-0.0094,35.56,0.000398,11.26
5.363,41.728,676.453,1.0712,-0.04795,3.809,4.337,-4.839,0.0,-0.528,-0.0135,36.19,0.000398,11.75
5.412,41.703,676.97,1.0468,-0.04615,3.876,4.156,-5.566,0.0,-0.281,0.004,36.77,0.000362,10.24
5.462,41.678,677.494,1.023,-0.04445,3.626,3.98,-3.609,0.0,-0.354,-0.0057,37.36,0.000362,10.03
5.513,41.651,678.027,0.9997,-0.04278,3.332,3.753,-3.528,0.0,-0.422,-0.0132,37.86,0.000362,11.44
5.562,41.624,678.534,0.9782,-0.04084,2.483,3.316,-4.536,0.0,-0.833,-0.0373,38.23,0.000382,9.99
5.612,41.595,679.076,0.9564,-0.03934,2.126,2.868,-8.747,0.0,-0.743,-0.0167,38.4,0.000382,9.71
5.664,41.565,679.618,0.9354,-0.03814,1.795,2.487,-8.951,0.0,-0.692,-0.0064,38.18,0.000382,11.64
5.713,41.534,680.156,0.9147,-0.03609,0.783,1.914,-7.632,0.0,-1.131,-0.0401,38.01,0.000132,9.98
5.764,41.503,680.695,0.8955,-0.03533,0.819,1.487,-11.462,0.0,-0.668,0.0005,38.15,0.000132,10.61
5.815,41.474,681.205,0.8776,-0.03479,1.011,1.32,-8.526,0.0,-0.309,0.0212,38.42,0.000132,11.63
5.867,41.442,681.75,0.8585,-0.03379,0.645,1.124,-3.356,0.0,-0.479,-0.0098,38.74,0.000237,13.77
5.915,41.409,682.301,0.84,-0.03339,0.951,1.047,-3.916,0.0,-0.096,0.0098,39.09,0.000237,11.89
5.964,41.376,682.856,0.8215,-0.03305,1.282,1.131,-1.53,0.0,0.151,0.0197,39.43,0.000237,10.55
